variable,anio,estimate,prediccion_lineal,residuo
empleo_temporal,2015,-0.714243,-0.9545800857144968,0.24033708571449686
empleo_temporal,2016,-0.942455,-0.8170684285715879,-0.12538657142841214
empleo_temporal,2017,-0.87811,-0.6795567714287358,-0.19855322857126412
empleo_temporal,2018,-0.436433,-0.5420451142858269,0.1056121142858269
empleo_temporal,2019,-0.57339,-0.404533457142918,-0.16885654285708196
empleo_temporal,2021,0.017337,-0.129510142857157,0.146847142857157
participacion_permanente,2015,0.638606,0.7244672428572017,-0.08586124285720165
participacion_permanente,2016,0.635197,0.6499922142857599,-0.014795214285759917
participacion_permanente,2017,0.660254,0.5755171857143182,0.0847368142856818
participacion_permanente,2018,0.554695,0.5010421571428765,0.05365284285712357
participacion_permanente,2019,0.471186,0.42656712857143475,0.04461887142856524
participacion_permanente,2021,0.195265,0.2776170714285513,-0.0823520714285513
