resultado,comparacion,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior
Empleo (trabajadores),Frente a 2022,-0.9221509685366848,1.3871303011608545,0.5061845356820929,,-3.6409263588119596,1.7966244217385898
Empleo (log),Frente a 2022,-0.01913264075370931,0.0060897582393619875,0.001679279168048681,***,-0.031068566902858807,-0.0071967146045598136
Salario (log),Frente a 2022,0.047919128531239974,0.005092398488258949,4.964533164107512e-21,***,0.03793802749425244,0.05790022956822751
Empleo (trabajadores),Frente a 2021-2022,-1.4502010334388529,1.1274657428955877,0.19835637652773977,,-3.660033889514205,0.7596318226364991
Empleo (log),Frente a 2021-2022,-0.015219239365088066,0.0059811127251770905,0.010941869885726799,**,-0.026942220306435165,-0.0034962584237409697
Salario (log),Frente a 2021-2022,0.028752692033589225,0.00459681635751918,3.9773444348974556e-10,***,0.01974293197285163,0.03776245209432682
Empleo (trabajadores),Frente a 2015-2019,-1.8418550499105506,1.6006540935771727,0.24986020566833372,,-4.979137073321809,1.295426973500708
Empleo (log),Frente a 2015-2019,-0.007411840906051632,0.009168166309449614,0.4188418187533276,,-0.025381446872572874,0.010557765060469609
Salario (log),Frente a 2015-2019,-0.026205206239318567,0.004554907406501213,8.757968588629894e-9,***,-0.03513282475606094,-0.01727758772257619
Empleo (trabajadores),Frente a todos los previos,-1.7299539023472084,1.3558041916563486,0.20196914152549925,,-4.387330117993652,0.9274223132992347
Empleo (log),Frente a todos los previos,-0.009642526180062044,0.007578737254045233,0.20326191982927888,,-0.0244968511979907,0.005211798837866613
Salario (log),Frente a todos los previos,-0.010502949589916336,0.003981986140913572,0.00834911123820819,***,-0.018307642426106937,-0.002698256753725734
