medida_exposicion,medida,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,p_años_previos
Kaitz 2022,Salario: salto 2023 frente al cambio típico 2015-2018,0.04429783206451259,0.0060047999614449635,1.6181045585966484e-13,***,0.03252842414008046,0.05606723998894472,8.31148221343554e-35
Kaitz 2022,Salario: cambio 2022 -> 2023,0.03873160039454674,0.005727881013010116,1.3615401629644168e-11,***,0.027504953609046912,0.04995824718004657,8.31148221343554e-35
Kaitz 2022,Empleo (log): promedio después menos promedio antes,-0.008881812724552888,0.007734823596480968,0.25084928545302443,,-0.024042066973655584,0.006278441524549809,0.23182575032822267
Kaitz 2022,Empleo (trabajadores): promedio después menos promedio antes,-1.8700517817014923,1.4196251352334577,0.1877429022617193,,-4.652517046759069,0.9124134833560846,0.8047997663752462
Kaitz 2019,Salario: salto 2023 frente al cambio típico 2015-2018,0.022119867936476714,0.00444205860429796,6.370152902477954e-7,***,0.013413433072052712,0.030826302800900714,1.3707047187372392e-35
Kaitz 2019,Salario: cambio 2022 -> 2023,0.011397760029762533,0.004078591303916965,0.005197465552800836,***,0.0034037210740852815,0.019391798985439784,1.3707047187372392e-35
Kaitz 2019,Empleo (log): promedio después menos promedio antes,0.010790656406136233,0.007574795595162432,0.1542880345558604,,-0.004055942960382133,0.025637255772654598,4.1997769696715026e-4
Kaitz 2019,Empleo (trabajadores): promedio después menos promedio antes,-2.1554872595515944,1.5339016162757553,0.1599523744128901,,-5.161934427452074,0.8509599083488859,0.4114772606334951
Kaitz promedio,Salario: salto 2023 frente al cambio típico 2015-2018,0.04023078734372328,0.005016793638033076,1.0641608595831775e-15,***,0.030397871813178455,0.05006370287426811,6.29450331592321e-29
Kaitz promedio,Salario: cambio 2022 -> 2023,0.0311235754858978,0.004709952584618339,3.8943008146490224e-11,***,0.02189206842004586,0.040355082551749744,6.29450331592321e-29
Kaitz promedio,Empleo (log): promedio después menos promedio antes,-0.0028524016610948057,0.007878223914365995,0.7173060642898941,,-0.018293720533252154,0.012588917211062544,0.0011758556508065486
Kaitz promedio,Empleo (trabajadores): promedio después menos promedio antes,-3.0872267511174964,1.6361940039998903,0.05918263397510593,*,-6.294166998957282,0.11971349672228859,0.6879347704213634
