controles,resultado,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,observaciones,p_años_previos
1. Firma y año,Empleo (log),-0.04771698176605931,0.006837458307319679,3.3587170095110466e-12,***,-0.06111840004840588,-0.034315563483712744,44615,3.5916521826596486e-11
1. Firma y año,Empleo (trabajadores),-8.42637232478941,1.5056973799947695,2.3038415593913136e-8,***,-11.377539189579158,-5.475205459999662,44630,2.0981830431582093e-9
2. + sector x año,Empleo (log),-0.0456925198691119,0.00706971191292963,1.1211783592613793e-10,***,-0.05954915521845398,-0.031835884519769826,44615,2.3581432216801944e-8
2. + sector x año,Empleo (trabajadores),-7.942824895960601,1.4843831354563566,9.133376896943999e-8,***,-10.85221584145506,-5.033433950466142,44630,7.543659240935562e-9
3. + tamaño x año,Empleo (log),-0.008541794534679206,0.007268436777146396,0.23997358684409406,,-0.022787930617886143,0.005704341548527732,44615,0.5357014452824742
3. + tamaño x año,Empleo (trabajadores),-1.8291666621898723,1.3710919670237947,0.1822323926519066,,-4.51650691755651,0.8581735931767651,44630,0.9063213124702775
4. + departamento x año,Empleo (log),-0.044832413825877694,0.0068653493745531105,7.204916052756607e-11,***,-0.05828849860000179,-0.031376329051753596,44615,1.4833767296569552e-9
4. + departamento x año,Empleo (trabajadores),-7.867981774565019,1.477923727528956,1.0605362229342564e-7,***,-10.764712280521772,-4.971251268608265,44630,1.8563858384206787e-8
5. + sector y tamaño x año,Empleo (log),-0.009761256401733276,0.007541806894134475,0.19562522604215604,,-0.02454319791423685,0.005020685110770294,44615,0.4371290031910543
5. + sector y tamaño x año,Empleo (trabajadores),-1.8451082508637338,1.3596840718440173,0.17483733562502313,,-4.510089031678008,0.8198725299505403,44630,0.9259756956710531
6. + sector y departamento x año,Empleo (log),-0.04325777952543862,0.007079389230727501,1.0677534631260562e-9,***,-0.057133382417664524,-0.029382176633212718,44615,3.406772605564895e-7
6. + sector y departamento x año,Empleo (trabajadores),-7.369942093012215,1.4434196622567825,3.4121963668484433e-7,***,-10.199044631035509,-4.540839554988921,44630,1.219131636666159e-7
7. Completo (principal),Empleo (log),-0.009636807891302297,0.007510513228110143,0.19951219312938648,,-0.024357413818398177,0.005083798035793582,44615,0.45444895040264677
7. Completo (principal),Empleo (trabajadores),-1.7279307994131738,1.3428505781515052,0.1982352500277126,,-4.359917932590124,0.9040563337637761,44630,0.9174925031548716
