quintil,n_firmas,tasa_salida_pct,se_pct,anio_seguimiento,anio_base,brecha_q5_q1_pp,se_brecha_pp,ic95_bajo,ic95_alto
Q1 - Muy baja,1506,5.179,0.571,2018,"2017 (placebo, pre-choque)",1.333,0.855,-0.343,3.009
Q2 - Baja,1505,4.186,0.516,2018,"2017 (placebo, pre-choque)",1.333,0.855,-0.343,3.009
Q3 - Media,1505,4.252,0.52,2018,"2017 (placebo, pre-choque)",1.333,0.855,-0.343,3.009
Q4 - Alta,1505,4.12,0.512,2018,"2017 (placebo, pre-choque)",1.333,0.855,-0.343,3.009
Q5 - Muy alta,1505,6.512,0.636,2018,"2017 (placebo, pre-choque)",1.333,0.855,-0.343,3.009
Q1 - Muy baja,1506,7.835,0.692,2019,"2017 (placebo, pre-choque)",3.926,1.081,1.807,6.045
Q2 - Baja,1505,7.708,0.688,2019,"2017 (placebo, pre-choque)",3.926,1.081,1.807,6.045
Q3 - Media,1505,7.841,0.693,2019,"2017 (placebo, pre-choque)",3.926,1.081,1.807,6.045
Q4 - Alta,1505,8.106,0.704,2019,"2017 (placebo, pre-choque)",3.926,1.081,1.807,6.045
Q5 - Muy alta,1505,11.761,0.83,2019,"2017 (placebo, pre-choque)",3.926,1.081,1.807,6.045
