panel,controles,muestra,datos,outcome,medida,p_conjunto_pre,n_obs,n_firmas
establecimiento,contemporaneos,sin_restringir,solo_pre,empleo_total,exposure_de,0.3492522008915812,46499,6155
establecimiento,contemporaneos,sin_restringir,solo_pre,empleo_total,bite_de,0.28276808555933164,38972,5076
establecimiento,contemporaneos,sin_restringir,solo_pre,empleo_permanente,exposure_de,0.6096993207541084,46499,6155
establecimiento,contemporaneos,sin_restringir,solo_pre,empleo_permanente,bite_de,0.4196972120759517,38972,5076
establecimiento,contemporaneos,sin_restringir,solo_pre,empleo_temporal,exposure_de,0.05696701895579401,46499,6155
establecimiento,contemporaneos,sin_restringir,solo_pre,empleo_temporal,bite_de,1.1767040269944594e-4,38972,5076
establecimiento,contemporaneos,sin_restringir,solo_pre,participacion_permanente,exposure_de,0.11639723041349988,46450,6155
establecimiento,contemporaneos,sin_restringir,solo_pre,participacion_permanente,bite_de,7.100450271547284e-10,38928,5076
establecimiento,contemporaneos,con_datos_2022,solo_pre,empleo_total,exposure_de,0.14592527817805356,45825,6155
establecimiento,contemporaneos,con_datos_2022,solo_pre,empleo_total,bite_de,0.18020654628245975,38364,5076
establecimiento,contemporaneos,con_datos_2022,solo_pre,empleo_permanente,exposure_de,0.42604024445471433,45825,6155
establecimiento,contemporaneos,con_datos_2022,solo_pre,empleo_permanente,bite_de,0.48265298972642434,38364,5076
establecimiento,contemporaneos,con_datos_2022,solo_pre,empleo_temporal,exposure_de,0.05526474349966301,45825,6155
establecimiento,contemporaneos,con_datos_2022,solo_pre,empleo_temporal,bite_de,9.953707798436882e-5,38364,5076
establecimiento,contemporaneos,con_datos_2022,solo_pre,participacion_permanente,exposure_de,0.11675048934496858,45792,6155
establecimiento,contemporaneos,con_datos_2022,solo_pre,participacion_permanente,bite_de,1.1637222353596035e-9,38335,5076
establecimiento,base2022,con_datos_2022,solo_pre,empleo_total,exposure_de,0.012261016985852266,45826,6155
establecimiento,base2022,con_datos_2022,solo_pre,empleo_total,bite_de,0.9286321278921184,38367,5076
establecimiento,base2022,con_datos_2022,solo_pre,empleo_permanente,exposure_de,0.2550043896276154,45826,6155
establecimiento,base2022,con_datos_2022,solo_pre,empleo_permanente,bite_de,0.01106013370698928,38367,5076
establecimiento,base2022,con_datos_2022,solo_pre,empleo_temporal,exposure_de,0.009318747179042698,45826,6155
establecimiento,base2022,con_datos_2022,solo_pre,empleo_temporal,bite_de,0.021538252027860222,38367,5076
establecimiento,base2022,con_datos_2022,solo_pre,participacion_permanente,exposure_de,0.06438866599916811,45793,6155
establecimiento,base2022,con_datos_2022,solo_pre,participacion_permanente,bite_de,1.4122942369827042e-9,38338,5076
firma,contemporaneos,sin_restringir,solo_pre,empleo_total,exposure_de,0.1764794903409491,42213,6153
firma,contemporaneos,sin_restringir,solo_pre,empleo_total,bite_de,0.053883274863329035,34843,5075
firma,contemporaneos,sin_restringir,solo_pre,empleo_permanente,exposure_de,0.6790823082379859,42213,6153
firma,contemporaneos,sin_restringir,solo_pre,empleo_permanente,bite_de,0.4640868222122714,34843,5075
firma,contemporaneos,sin_restringir,solo_pre,empleo_temporal,exposure_de,0.017789419342300203,42213,6153
firma,contemporaneos,sin_restringir,solo_pre,empleo_temporal,bite_de,2.296118197739368e-6,34843,5075
firma,contemporaneos,sin_restringir,solo_pre,participacion_permanente,exposure_de,0.017038216233918792,42200,6153
firma,contemporaneos,sin_restringir,solo_pre,participacion_permanente,bite_de,1.8680070581524487e-12,34835,5075
firma,contemporaneos,con_datos_2022,solo_pre,empleo_total,exposure_de,0.1764794903409491,42213,6153
firma,contemporaneos,con_datos_2022,solo_pre,empleo_total,bite_de,0.053883274863329035,34843,5075
firma,contemporaneos,con_datos_2022,solo_pre,empleo_permanente,exposure_de,0.6790823082379859,42213,6153
firma,contemporaneos,con_datos_2022,solo_pre,empleo_permanente,bite_de,0.4640868222122714,34843,5075
firma,contemporaneos,con_datos_2022,solo_pre,empleo_temporal,exposure_de,0.017789419342300203,42213,6153
firma,contemporaneos,con_datos_2022,solo_pre,empleo_temporal,bite_de,2.296118197739368e-6,34843,5075
firma,contemporaneos,con_datos_2022,solo_pre,participacion_permanente,exposure_de,0.017038216233918792,42200,6153
firma,contemporaneos,con_datos_2022,solo_pre,participacion_permanente,bite_de,1.8680070581524487e-12,34835,5075
firma,base2022,con_datos_2022,solo_pre,empleo_total,exposure_de,0.011853709509176948,42214,6153
firma,base2022,con_datos_2022,solo_pre,empleo_total,bite_de,0.902721269317192,34846,5075
firma,base2022,con_datos_2022,solo_pre,empleo_permanente,exposure_de,0.19071617669599505,42214,6153
firma,base2022,con_datos_2022,solo_pre,empleo_permanente,bite_de,0.020791495363875794,34846,5075
firma,base2022,con_datos_2022,solo_pre,empleo_temporal,exposure_de,0.0037122968030131533,42214,6153
firma,base2022,con_datos_2022,solo_pre,empleo_temporal,bite_de,0.0017206292415612935,34846,5075
firma,base2022,con_datos_2022,solo_pre,participacion_permanente,exposure_de,0.009517637635721738,42201,6153
firma,base2022,con_datos_2022,solo_pre,participacion_permanente,bite_de,8.084631621377789e-13,34838,5075
firma,base2022,con_datos_2022,completo,empleo_total,exposure_de,0.014669948769803936,54014,6179
firma,base2022,con_datos_2022,completo,empleo_total,bite_de,0.9174925031548716,44630,5098
firma,base2022,con_datos_2022,completo,empleo_permanente,exposure_de,0.2403233764887626,54014,6179
firma,base2022,con_datos_2022,completo,empleo_permanente,bite_de,0.024231645658715672,44630,5098
firma,base2022,con_datos_2022,completo,empleo_temporal,exposure_de,0.004287307957145321,54014,6179
firma,base2022,con_datos_2022,completo,empleo_temporal,bite_de,0.003107911385072363,44630,5098
