outcome,anio_base,p_conjunto_pre,beta_2023,n_obs,n_firmas
empleo_total,2019,0.45930649092647957,-3.413746245560489,41095,4650
empleo_total,2021,0.178698069096289,-3.127568598915648,41095,4650
empleo_total,2022,0.7839269179530508,-1.2243205497899434,41095,4650
empleo_permanente,2019,0.3373100478953419,-2.6953730020277202,41095,4650
empleo_permanente,2021,0.07823890623425604,-2.3063032952486626,41095,4650
empleo_permanente,2022,0.034503800456871264,-1.5143591217660983,41095,4650
empleo_temporal,2019,0.11729856705748912,-0.6875567521868005,41095,4650
empleo_temporal,2021,0.0010388169974535036,-0.7618749688318809,41095,4650
empleo_temporal,2022,0.0037232772085623545,0.2820819731404469,41095,4650
participacion_permanente,2019,7.480333372237787e-7,-0.10646506729914909,41087,4650
participacion_permanente,2021,6.809153341696266e-7,-0.34135594540350056,41087,4650
participacion_permanente,2022,8.346115264987054e-12,-0.9474459807537982,41087,4650
