muestra,outcome,medida,p_conjunto_pre,n_obs,n_firmas
completa,empleo_total,exposure_de,0.014669948769803936,54014,6179
completa,empleo_total,bite_de,0.9174925031548716,44630,5098
completa,empleo_permanente,exposure_de,0.2403233764887626,54014,6179
completa,empleo_permanente,bite_de,0.024231645658715672,44630,5098
completa,empleo_temporal,exposure_de,0.004287307957145321,54014,6179
completa,empleo_temporal,bite_de,0.003107911385072363,44630,5098
completa,participacion_permanente,exposure_de,0.00885611986608496,53991,6179
completa,participacion_permanente,bite_de,2.1707498690523664e-12,44615,5098
comun,empleo_total,exposure_de,0.036468532663780896,44630,5098
comun,empleo_total,bite_de,0.9174925031548716,44630,5098
comun,empleo_permanente,exposure_de,0.10623739837616193,44630,5098
comun,empleo_permanente,bite_de,0.024231645658715672,44630,5098
comun,empleo_temporal,exposure_de,0.012922122426989886,44630,5098
comun,empleo_temporal,bite_de,0.003107911385072363,44630,5098
comun,participacion_permanente,exposure_de,0.5199260446425034,44615,5098
comun,participacion_permanente,bite_de,2.1707498690523664e-12,44615,5098
