variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
empleo_total,ANIO_F::2016:exposicion_10pp,-0.971709,0.593022,-1.6386,0.1014,-2.134241,0.190824,2015 (ref.)
empleo_total,ANIO_F::2017:exposicion_10pp,-0.898087,0.608219,-1.4766,0.1398,-2.090413,0.294238,2015 (ref.)
empleo_total,ANIO_F::2018:exposicion_10pp,-0.462911,0.548964,-0.8432,0.3991,-1.539074,0.613252,2015 (ref.)
empleo_total,ANIO_F::2019:exposicion_10pp,-0.274654,0.576636,-0.4763,0.6339,-1.405064,0.855756,2015 (ref.)
empleo_permanente,ANIO_F::2016:exposicion_10pp,-0.453221,0.415512,-1.0908,0.2754,-1.267772,0.36133,2015 (ref.)
empleo_permanente,ANIO_F::2017:exposicion_10pp,-0.600542,0.441629,-1.3598,0.1739,-1.466292,0.265208,2015 (ref.)
empleo_permanente,ANIO_F::2018:exposicion_10pp,-0.547218,0.401964,-1.3614,0.1735,-1.33521,0.240774,2015 (ref.)
empleo_permanente,ANIO_F::2019:exposicion_10pp,-0.171493,0.419861,-0.4085,0.683,-0.99457,0.651584,2015 (ref.)
empleo_temporal,ANIO_F::2016:exposicion_10pp,-0.472432,0.300292,-1.5732,0.1157,-1.061109,0.116246,2015 (ref.)
empleo_temporal,ANIO_F::2017:exposicion_10pp,-0.259211,0.319365,-0.8116,0.417,-0.885279,0.366857,2015 (ref.)
empleo_temporal,ANIO_F::2018:exposicion_10pp,0.131114,0.32164,0.4076,0.6836,-0.499415,0.761643,2015 (ref.)
empleo_temporal,ANIO_F::2019:exposicion_10pp,-0.008574,0.388218,-0.0221,0.9824,-0.769619,0.75247,2015 (ref.)
participacion_permanente,ANIO_F::2016:exposicion_10pp,-0.007752,0.138253,-0.0561,0.9553,-0.278777,0.263273,2015 (ref.)
participacion_permanente,ANIO_F::2017:exposicion_10pp,-0.002568,0.165586,-0.0155,0.9876,-0.327175,0.32204,2015 (ref.)
participacion_permanente,ANIO_F::2018:exposicion_10pp,-0.107295,0.178648,-0.6006,0.5481,-0.457508,0.242917,2015 (ref.)
participacion_permanente,ANIO_F::2019:exposicion_10pp,-0.174281,0.197993,-0.8802,0.3788,-0.562417,0.213855,2015 (ref.)
