variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
empleo_total,ANIO_F::2016:exposicion_10pp,-0.542493,0.543967,-0.9973,0.3187,-1.60886,0.523874,2015 (ref.)
empleo_total,ANIO_F::2017:exposicion_10pp,-0.589993,0.566807,-1.0409,0.298,-1.701134,0.521148,2015 (ref.)
empleo_total,ANIO_F::2018:exposicion_10pp,-0.337121,0.46929,-0.7184,0.4726,-1.257094,0.582852,2015 (ref.)
empleo_total,ANIO_F::2019:exposicion_10pp,-0.127017,0.525721,-0.2416,0.8091,-1.157616,0.903582,2015 (ref.)
empleo_permanente,ANIO_F::2016:exposicion_10pp,-0.285039,0.378797,-0.7525,0.4518,-1.027614,0.457536,2015 (ref.)
empleo_permanente,ANIO_F::2017:exposicion_10pp,-0.412197,0.422244,-0.9762,0.329,-1.239944,0.41555,2015 (ref.)
empleo_permanente,ANIO_F::2018:exposicion_10pp,-0.437839,0.373265,-1.173,0.2408,-1.169569,0.293891,2015 (ref.)
empleo_permanente,ANIO_F::2019:exposicion_10pp,-0.175328,0.369373,-0.4747,0.635,-0.899428,0.548772,2015 (ref.)
empleo_temporal,ANIO_F::2016:exposicion_10pp,-0.227059,0.295115,-0.7694,0.4417,-0.805587,0.35147,2015 (ref.)
empleo_temporal,ANIO_F::2017:exposicion_10pp,-0.1438,0.31275,-0.4598,0.6457,-0.756899,0.4693,2015 (ref.)
empleo_temporal,ANIO_F::2018:exposicion_10pp,0.1488,0.292097,0.5094,0.6105,-0.423814,0.721413,2015 (ref.)
empleo_temporal,ANIO_F::2019:exposicion_10pp,0.139059,0.368317,0.3776,0.7058,-0.582972,0.86109,2015 (ref.)
participacion_permanente,ANIO_F::2016:exposicion_10pp,-0.002231,0.147504,-0.0151,0.9879,-0.291391,0.286928,2015 (ref.)
participacion_permanente,ANIO_F::2017:exposicion_10pp,-0.038864,0.173599,-0.2239,0.8229,-0.379179,0.301451,2015 (ref.)
participacion_permanente,ANIO_F::2018:exposicion_10pp,-0.087433,0.186589,-0.4686,0.6394,-0.453213,0.278347,2015 (ref.)
participacion_permanente,ANIO_F::2019:exposicion_10pp,-0.180237,0.205341,-0.8777,0.3801,-0.582778,0.222304,2015 (ref.)
