outcome,medida,muestra,p_sin_controles,p_controles_2022,p_controles_contemp
empleo_total,exposure_de,completa,0.33999304005122133,0.3670242777408603,0.6169548761749983
empleo_total,exposure_de,comun,0.35715483231834094,0.5696570788976725,0.8614495518796036
empleo_total,bite_de,completa,0.014587143012861726,0.9207972962806321,0.25527536298548603
empleo_total,bite_de,comun,0.014587143012861726,0.9207972962806321,0.25527536298548603
empleo_permanente,exposure_de,completa,0.275367340652178,0.3339811881103639,0.6967026236976506
empleo_permanente,exposure_de,comun,0.16962124065007095,0.2656791340189806,0.5798690086868701
empleo_permanente,bite_de,completa,0.42594961503248063,0.10342844458333314,0.356062873294639
empleo_permanente,bite_de,comun,0.42594961503248063,0.10342844458333314,0.356062873294639
empleo_temporal,exposure_de,completa,0.29978965089001697,0.14876682517253592,0.13771010533858846
empleo_temporal,exposure_de,comun,0.5475917086256026,0.20467607835108936,0.2040388438884711
empleo_temporal,bite_de,completa,0.06716362151728246,0.23482957244514863,0.013338575485714961
empleo_temporal,bite_de,comun,0.06716362151728246,0.23482957244514863,0.013338575485714961
participacion_permanente,exposure_de,completa,0.7537645897318443,0.7583654063444183,0.8739189624845227
participacion_permanente,exposure_de,comun,0.04894061463897033,0.31476325254161974,0.2350585423631935
participacion_permanente,bite_de,completa,3.137119192884461e-5,1.1332753416781837e-4,3.916217009441455e-4
participacion_permanente,bite_de,comun,3.137119192884461e-5,1.1332753416781837e-4,3.916217009441455e-4
