variable,tipo_dimension,term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
empleo_total,principal,ANIO_F::2016:exposicion_10pp,0.350547,0.19838,1.767,0.07727,-0.038348,0.739442,2015 (ref.); especificacion: Sin controles
empleo_total,principal,ANIO_F::2017:exposicion_10pp,0.422058,0.197647,2.1354,0.03277,0.034601,0.809515,2015 (ref.); especificacion: Sin controles
empleo_total,principal,ANIO_F::2018:exposicion_10pp,0.457737,0.198196,2.3095,0.02095,0.069202,0.846272,2015 (ref.); especificacion: Sin controles
empleo_total,principal,ANIO_F::2019:exposicion_10pp,0.585882,0.215622,2.7172,0.006603,0.163187,1.008577,2015 (ref.); especificacion: Sin controles
empleo_total,principal,ANIO_F::2016:exposicion_10pp,-0.502977,0.513664,-0.9792,0.3275,-1.509941,0.503987,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_total,principal,ANIO_F::2017:exposicion_10pp,-0.549918,0.538594,-1.021,0.3073,-1.605753,0.505916,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_total,principal,ANIO_F::2018:exposicion_10pp,-0.127921,0.476585,-0.2684,0.7884,-1.062196,0.806354,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_total,principal,ANIO_F::2019:exposicion_10pp,0.040518,0.497165,0.0815,0.935,-0.9341,1.015137,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_permanente,principal,ANIO_F::2016:exposicion_10pp,0.29167,0.132275,2.205,0.02749,0.032363,0.550976,2015 (ref.); especificacion: Sin controles
empleo_permanente,principal,ANIO_F::2017:exposicion_10pp,0.435342,0.139621,3.118,0.001829,0.161635,0.709049,2015 (ref.); especificacion: Sin controles
empleo_permanente,principal,ANIO_F::2018:exposicion_10pp,0.370687,0.140405,2.6401,0.008309,0.095444,0.645931,2015 (ref.); especificacion: Sin controles
empleo_permanente,principal,ANIO_F::2019:exposicion_10pp,0.407859,0.153705,2.6535,0.007987,0.106542,0.709175,2015 (ref.); especificacion: Sin controles
empleo_permanente,principal,ANIO_F::2016:exposicion_10pp,-0.271938,0.37933,-0.7169,0.4735,-1.015559,0.471683,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_permanente,principal,ANIO_F::2017:exposicion_10pp,-0.374751,0.411557,-0.9106,0.3626,-1.181547,0.432046,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_permanente,principal,ANIO_F::2018:exposicion_10pp,-0.328479,0.379258,-0.8661,0.3865,-1.07196,0.415001,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_permanente,principal,ANIO_F::2019:exposicion_10pp,0.009235,0.396706,0.0233,0.9814,-0.76845,0.786919,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_temporal,principal,ANIO_F::2016:exposicion_10pp,0.042613,0.137139,0.3107,0.756,-0.226227,0.311454,2015 (ref.); especificacion: Sin controles
empleo_temporal,principal,ANIO_F::2017:exposicion_10pp,-0.041118,0.14106,-0.2915,0.7707,-0.317647,0.23541,2015 (ref.); especificacion: Sin controles
empleo_temporal,principal,ANIO_F::2018:exposicion_10pp,0.053648,0.143297,0.3744,0.7081,-0.227264,0.33456,2015 (ref.); especificacion: Sin controles
empleo_temporal,principal,ANIO_F::2019:exposicion_10pp,0.133815,0.164201,0.8149,0.4151,-0.188078,0.455708,2015 (ref.); especificacion: Sin controles
empleo_temporal,principal,ANIO_F::2016:exposicion_10pp,-0.202004,0.278722,-0.7248,0.4686,-0.748397,0.344389,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_temporal,principal,ANIO_F::2017:exposicion_10pp,-0.146534,0.308919,-0.4743,0.6353,-0.752125,0.459058,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_temporal,principal,ANIO_F::2018:exposicion_10pp,0.233988,0.297991,0.7852,0.4324,-0.35018,0.818156,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_temporal,principal,ANIO_F::2019:exposicion_10pp,0.105707,0.374704,0.2821,0.7779,-0.628845,0.84026,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
participacion_permanente,principal,ANIO_F::2016:exposicion_10pp,0.03098,0.050458,0.614,0.5393,-0.067935,0.129895,2015 (ref.); especificacion: Sin controles
participacion_permanente,principal,ANIO_F::2017:exposicion_10pp,0.104915,0.057336,1.8298,0.06732,-0.007484,0.217314,2015 (ref.); especificacion: Sin controles
participacion_permanente,principal,ANIO_F::2018:exposicion_10pp,0.06547,0.064572,1.0139,0.3107,-0.061114,0.192054,2015 (ref.); especificacion: Sin controles
