variable,tipo_dimension,especificacion,n_obs,n_establecimientos,n_firmas,f_stat,df1,df2,p_value
empleo_total,principal,Sin controles,32476,6670,6137,2.633,4,6117,0.03247
empleo_total,principal,Con sector*anio + tamano*anio + departamento*anio,32475,6670,6137,0.352,4,6117,0.843
empleo_permanente,principal,Sin controles,32476,6670,6137,3.83,4,6117,0.004114
empleo_permanente,principal,Con sector*anio + tamano*anio + departamento*anio,32475,6670,6137,0.475,4,6117,0.7544
empleo_temporal,principal,Sin controles,32476,6670,6137,0.627,4,6117,0.643
empleo_temporal,principal,Con sector*anio + tamano*anio + departamento*anio,32475,6670,6137,0.684,4,6117,0.6029
participacion_permanente,principal,Sin controles,32462,6670,6137,1.435,4,6117,0.2195
participacion_permanente,principal,Con sector*anio + tamano*anio + departamento*anio,32461,6670,6137,0.247,4,6117,0.9115
asinh_C3R23C3,mecanismo_extension,Sin controles,32476,6670,6137,7.185,4,6117,9.089e-6
asinh_C3R23C3,mecanismo_extension,Con sector*anio + tamano*anio + departamento*anio,32475,6670,6137,0.14,4,6117,0.9672
asinh_C3R41C3,mecanismo_extension,Sin controles,32476,6670,6137,9.678,4,6117,8.446e-8
asinh_C3R41C3,mecanismo_extension,Con sector*anio + tamano*anio + departamento*anio,32475,6670,6137,1.122,4,6117,0.344
asinh_C7R10C2,mecanismo_extension,Sin controles,32475,6670,6137,12.888,4,6117,1.891e-10
asinh_C7R10C2,mecanismo_extension,Con sector*anio + tamano*anio + departamento*anio,32474,6670,6137,1.514,4,6117,0.1951
asinh_VALORVEN,mecanismo_extension,Sin controles,32476,6670,6137,24.283,4,6117,5.783000000000001e-20
asinh_VALORVEN,mecanismo_extension,Con sector*anio + tamano*anio + departamento*anio,32475,6670,6137,0.842,4,6117,0.498
