variable,tipo_dimension,term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
empleo_total,principal,ANIO_F::2016:exposicion_10pp,0.42378,0.199115,2.1283,0.03335,0.033444,0.814116,2015 (ref.); especificacion: Sin controles
empleo_total,principal,ANIO_F::2017:exposicion_10pp,0.536134,0.199178,2.6917,0.007127,0.145676,0.926592,2015 (ref.); especificacion: Sin controles
empleo_total,principal,ANIO_F::2018:exposicion_10pp,0.551774,0.196927,2.8019,0.005096,0.165728,0.93782,2015 (ref.); especificacion: Sin controles
empleo_total,principal,ANIO_F::2019:exposicion_10pp,0.667309,0.2129,3.1344,0.00173,0.249949,1.084668,2015 (ref.); especificacion: Sin controles
empleo_total,principal,ANIO_F::2016:exposicion_10pp,-0.391971,0.465485,-0.8421,0.3998,-1.304486,0.520544,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_total,principal,ANIO_F::2017:exposicion_10pp,-0.485142,0.500046,-0.9702,0.332,-1.465408,0.495125,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_total,principal,ANIO_F::2018:exposicion_10pp,-0.169486,0.401266,-0.4224,0.6728,-0.956108,0.617137,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_total,principal,ANIO_F::2019:exposicion_10pp,-0.023406,0.446699,-0.0524,0.9582,-0.899094,0.852282,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_permanente,principal,ANIO_F::2016:exposicion_10pp,0.347174,0.134406,2.583,0.009817,0.083691,0.610657,2015 (ref.); especificacion: Sin controles
empleo_permanente,principal,ANIO_F::2017:exposicion_10pp,0.52484,0.143866,3.6481,2.664e-4,0.242812,0.806869,2015 (ref.); especificacion: Sin controles
empleo_permanente,principal,ANIO_F::2018:exposicion_10pp,0.447998,0.142729,3.1388,0.001705,0.168198,0.727798,2015 (ref.); especificacion: Sin controles
empleo_permanente,principal,ANIO_F::2019:exposicion_10pp,0.486926,0.151974,3.204,0.001362,0.189004,0.784849,2015 (ref.); especificacion: Sin controles
empleo_permanente,principal,ANIO_F::2016:exposicion_10pp,-0.183498,0.34431,-0.5329,0.5941,-0.858467,0.49147,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_permanente,principal,ANIO_F::2017:exposicion_10pp,-0.292714,0.393066,-0.7447,0.4565,-1.063262,0.477833,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_permanente,principal,ANIO_F::2018:exposicion_10pp,-0.29667,0.345054,-0.8598,0.3899,-0.973098,0.379759,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_permanente,principal,ANIO_F::2019:exposicion_10pp,-0.071866,0.337609,-0.2129,0.8314,-0.733699,0.589967,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
empleo_temporal,principal,ANIO_F::2016:exposicion_10pp,0.056435,0.135871,0.4154,0.6779,-0.20992,0.322789,2015 (ref.); especificacion: Sin controles
