variable,tipo_dimension,especificacion,efectos_fijos,controles,variable_cluster,n_clusters,n_obs,n_obs_reconstruido_coincide,ventana,filtro_muestra,variable_exposicion
empleo_total,principal,Sin controles,NORDEST,Ninguno,NORDEMP,6137,32476,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est (establecimiento) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros_est (ESTABLECIMIENTO, no firma), continua, escalada a 10pp, unida DIRECTO por NORDEST"
empleo_total,principal,Con sector*anio + tamano*anio + departamento*anio,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,6137,32475,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est (establecimiento) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros_est (ESTABLECIMIENTO, no firma), continua, escalada a 10pp, unida DIRECTO por NORDEST"
empleo_permanente,principal,Sin controles,NORDEST,Ninguno,NORDEMP,6137,32476,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est (establecimiento) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros_est (ESTABLECIMIENTO, no firma), continua, escalada a 10pp, unida DIRECTO por NORDEST"
empleo_permanente,principal,Con sector*anio + tamano*anio + departamento*anio,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,6137,32475,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est (establecimiento) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros_est (ESTABLECIMIENTO, no firma), continua, escalada a 10pp, unida DIRECTO por NORDEST"
empleo_temporal,principal,Sin controles,NORDEST,Ninguno,NORDEMP,6137,32476,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est (establecimiento) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros_est (ESTABLECIMIENTO, no firma), continua, escalada a 10pp, unida DIRECTO por NORDEST"
empleo_temporal,principal,Con sector*anio + tamano*anio + departamento*anio,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,6137,32475,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est (establecimiento) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros_est (ESTABLECIMIENTO, no firma), continua, escalada a 10pp, unida DIRECTO por NORDEST"
participacion_permanente,principal,Sin controles,NORDEST,Ninguno,NORDEMP,6137,32462,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est (establecimiento) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros_est (ESTABLECIMIENTO, no firma), continua, escalada a 10pp, unida DIRECTO por NORDEST"
participacion_permanente,principal,Con sector*anio + tamano*anio + departamento*anio,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,6137,32461,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est (establecimiento) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros_est (ESTABLECIMIENTO, no firma), continua, escalada a 10pp, unida DIRECTO por NORDEST"
asinh_C3R23C3,mecanismo_extension,Sin controles,NORDEST,Ninguno,NORDEMP,6137,32476,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est (establecimiento) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros_est (ESTABLECIMIENTO, no firma), continua, escalada a 10pp, unida DIRECTO por NORDEST"
asinh_C3R23C3,mecanismo_extension,Con sector*anio + tamano*anio + departamento*anio,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,6137,32475,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est (establecimiento) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros_est (ESTABLECIMIENTO, no firma), continua, escalada a 10pp, unida DIRECTO por NORDEST"
