variable,tipo_dimension,especificacion,efectos_fijos,controles,variable_cluster,n_clusters,n_obs,n_obs_reconstruido_coincide,ventana,filtro_muestra,variable_exposicion
empleo_total,principal,Sin controles,NORDEST,Ninguno,NORDEMP,6104,33011,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros (firma) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros (FIRMA, no _est), continua, escalada a 10pp, unida por NORDEMP"
empleo_total,principal,Con sector*anio + tamano*anio + departamento*anio,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,6104,33010,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros (firma) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros (FIRMA, no _est), continua, escalada a 10pp, unida por NORDEMP"
empleo_permanente,principal,Sin controles,NORDEST,Ninguno,NORDEMP,6104,33011,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros (firma) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros (FIRMA, no _est), continua, escalada a 10pp, unida por NORDEMP"
empleo_permanente,principal,Con sector*anio + tamano*anio + departamento*anio,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,6104,33010,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros (firma) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros (FIRMA, no _est), continua, escalada a 10pp, unida por NORDEMP"
empleo_temporal,principal,Sin controles,NORDEST,Ninguno,NORDEMP,6104,33011,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros (firma) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros (FIRMA, no _est), continua, escalada a 10pp, unida por NORDEMP"
empleo_temporal,principal,Con sector*anio + tamano*anio + departamento*anio,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,6104,33010,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros (firma) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros (FIRMA, no _est), continua, escalada a 10pp, unida por NORDEMP"
participacion_permanente,principal,Sin controles,NORDEST,Ninguno,NORDEMP,6104,32972,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros (firma) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros (FIRMA, no _est), continua, escalada a 10pp, unida por NORDEMP"
participacion_permanente,principal,Con sector*anio + tamano*anio + departamento*anio,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,6104,32971,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros (firma) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros (FIRMA, no _est), continua, escalada a 10pp, unida por NORDEMP"
asinh_C3R23C3,mecanismo_extension,Sin controles,NORDEST,Ninguno,NORDEMP,6104,33011,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros (firma) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros (FIRMA, no _est), continua, escalada a 10pp, unida por NORDEMP"
asinh_C3R23C3,mecanismo_extension,Con sector*anio + tamano*anio + departamento*anio,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,6104,33010,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros (firma) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA; panel formal Paso A (NORDEST-ANIO)","Exposure2022_obreros (FIRMA, no _est), continua, escalada a 10pp, unida por NORDEMP"
