variable,especificacion,term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
asinh_salario_promedio,Sin controles,ANIO_F::2016:exposicion_10pp,0.009351,6.54e-4,14.3046,1.081e-45,0.00807,0.010633,2015 (ref.); especificacion: Sin controles
asinh_salario_promedio,Sin controles,ANIO_F::2017:exposicion_10pp,0.018016,5.64e-4,31.9563,1.2929999999999996e-207,0.016911,0.019121,2015 (ref.); especificacion: Sin controles
asinh_salario_promedio,Sin controles,ANIO_F::2018:exposicion_10pp,0.025559,5.93e-4,43.1198,0,0.024397,0.026721,2015 (ref.); especificacion: Sin controles
asinh_salario_promedio,Sin controles,ANIO_F::2019:exposicion_10pp,0.035426,6.59e-4,53.7856,0,0.034135,0.036718,2015 (ref.); especificacion: Sin controles
asinh_salario_promedio,Sin controles,ANIO_F::2021:exposicion_10pp,0.050868,8.23e-4,61.7814,0,0.049254,0.052482,2015 (ref.); especificacion: Sin controles
asinh_salario_promedio,Sin controles,ANIO_F::2022:exposicion_10pp,0.060852,0.001044,58.3133,0,0.058806,0.062897,2015 (ref.); especificacion: Sin controles
asinh_salario_promedio,Sin controles,ANIO_F::2023:exposicion_10pp,0.076934,0.001008,76.3352,0,0.074958,0.07891,2015 (ref.); especificacion: Sin controles
asinh_salario_promedio,Sin controles,ANIO_F::2024:exposicion_10pp,0.09084,7.7e-4,117.9233,0,0.08933,0.09235,2015 (ref.); especificacion: Sin controles
asinh_salario_promedio,Con sector*anio + tamano*anio + departamento*anio,ANIO_F::2016:exposicion_10pp,-5.06e-4,0.002319,-0.218,0.8274,-0.005053,0.004041,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_salario_promedio,Con sector*anio + tamano*anio + departamento*anio,ANIO_F::2017:exposicion_10pp,5.29e-4,0.002039,0.2594,0.7954,-0.003469,0.004526,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_salario_promedio,Con sector*anio + tamano*anio + departamento*anio,ANIO_F::2018:exposicion_10pp,-0.003046,0.002013,-1.5134,0.1302,-0.006991,9e-4,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_salario_promedio,Con sector*anio + tamano*anio + departamento*anio,ANIO_F::2019:exposicion_10pp,-0.004374,0.00235,-1.8613,0.06275,-0.00898,2.33e-4,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_salario_promedio,Con sector*anio + tamano*anio + departamento*anio,ANIO_F::2021:exposicion_10pp,-0.005785,0.003627,-1.5951,0.1107,-0.012895,0.001325,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_salario_promedio,Con sector*anio + tamano*anio + departamento*anio,ANIO_F::2022:exposicion_10pp,-0.009103,0.004088,-2.2269,0.02599,-0.017117,-0.001089,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_salario_promedio,Con sector*anio + tamano*anio + departamento*anio,ANIO_F::2023:exposicion_10pp,-0.008974,0.004029,-2.2275,0.02595,-0.016871,-0.001076,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_salario_promedio,Con sector*anio + tamano*anio + departamento*anio,ANIO_F::2024:exposicion_10pp,-0.001768,0.002507,-0.7052,0.4807,-0.006681,0.003146,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
