variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
empleo_total,anio_lineal,4.136427,0.664471,6.2251,4.909e-10,2.834007,5.438846,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_total,quintil_bite2022_obreros::Q2 - Baja:anio_lineal,-2.758333,0.94026,-2.9336,0.003355,-4.601323,-0.915344,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_total,quintil_bite2022_obreros::Q3 - Media:anio_lineal,-2.718837,0.938094,-2.8983,0.003757,-4.557581,-0.880093,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_total,quintil_bite2022_obreros::Q4 - Alta:anio_lineal,-3.997526,0.940113,-4.2522,2.127e-5,-5.840227,-2.154825,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_total,quintil_bite2022_obreros::Q5 - Muy alta:anio_lineal,-3.843735,0.941662,-4.0819,4.485e-5,-5.689472,-1.997999,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_total,quintil_bite2022_obreros::Q2 - Baja:anio_lineal,-2.903867,0.977602,-2.9704,0.002978,-4.820054,-0.987681,Q1 - Muy baja (ref.); especificacion: Con sector*anio + departamento*anio
empleo_total,quintil_bite2022_obreros::Q3 - Media:anio_lineal,-2.386812,0.985193,-2.4227,0.01542,-4.317878,-0.455746,Q1 - Muy baja (ref.); especificacion: Con sector*anio + departamento*anio
empleo_total,quintil_bite2022_obreros::Q4 - Alta:anio_lineal,-3.985891,0.992999,-4.014,5.993e-5,-5.932257,-2.039525,Q1 - Muy baja (ref.); especificacion: Con sector*anio + departamento*anio
empleo_total,quintil_bite2022_obreros::Q5 - Muy alta:anio_lineal,-3.805491,1.002239,-3.797,1.469e-4,-5.769968,-1.841013,Q1 - Muy baja (ref.); especificacion: Con sector*anio + departamento*anio
empleo_permanente,anio_lineal,2.429349,0.467666,5.1946,2.072e-7,1.512683,3.346014,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_permanente,quintil_bite2022_obreros::Q2 - Baja:anio_lineal,-1.808831,0.661771,-2.7333,0.006276,-3.105958,-0.511704,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_permanente,quintil_bite2022_obreros::Q3 - Media:anio_lineal,-0.772608,0.660247,-1.1702,0.2419,-2.066747,0.521531,Q1 - Muy baja (ref.); especificacion: Sin controles
empleo_permanente,quintil_bite2022_obreros::Q4 - Alta:anio_lineal,-1.344366,0.661667,-2.0318,0.04219,-2.641291,-0.047442,Q1 - Muy baja (ref.); especificacion: Sin controles
