variable,label_dta,descripcion_diccionario,descripcion_final,aparece_en_anios
ACTIVFI,Activos Fijos,NA,Activos Fijos,17
BAGAAUTO,Autogeneración de Bagazo de caña,NA,Autogeneración de Bagazo de caña,16
BAGAC,Cantidad de Bagazo de caña,NA,Cantidad de Bagazo de caña,17
BAGACO,Cogeneración de Bagazo de caña,NA,Cogeneración de Bagazo de caña,16
BAGAV,Valor de Bagazo de caña,NA,Valor de Bagazo de caña,17
C2R5CERT,Ingresos por cert causados en el año.,NA,Ingresos por cert causados en el año.,17
C3R10C1,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Obreros,NA,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Obreros,17
C3R10C2,Costos y Gastos Causados pro el Personal Ocupado  - Administrativos,NA,Costos y Gastos Causados pro el Personal Ocupado  - Administrativos,17
C3R10C3,Total  Costos y Gastos Causados pro el Personal Ocupado,NA,Total  Costos y Gastos Causados pro el Personal Ocupado,17
C3R10PT,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Profesional Te,NA,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Profesional Te,17
C3R13C1,Muestras gratis - Producción,NA,Muestras gratis - Producción,17
C3R13C2,Muestras gratis - Administración y ventas,NA,Muestras gratis - Administración y ventas,17
C3R13C3,Total Muestras gratis,NA,Total Muestras gratis,17
C3R14C1,Costos y gastos de productos y servicios industriales elaborados por terceros -,NA,Costos y gastos de productos y servicios industriales elaborados por terceros -,17
C3R14C3,Total Costos y gastos de productos y servicios industriales elaborados por terce,NA,Total Costos y gastos de productos y servicios industriales elaborados por terce,17
C3R15C1,Honorarios y servicios técnicos - producción,NA,Honorarios y servicios técnicos - producción,17
C3R15C2,Honorarios y servicios técnicos - Administración y ventas,NA,Honorarios y servicios técnicos - Administración y ventas,17
C3R15C3,Total Honorarios y servicios técnicos,NA,Total Honorarios y servicios técnicos,17
C3R16C1,Arrendamiento de bienes inmuebles - Producción,NA,Arrendamiento de bienes inmuebles - Producción,17
C3R16C2,Arrendamiento de bienes inmuebles - Administración y ventas,NA,Arrendamiento de bienes inmuebles - Administración y ventas,17
C3R16C3,Total  Arrendamiento de bienes inmuebles,NA,Total  Arrendamiento de bienes inmuebles,17
C3R17C1,Arrendamiento sin opción  de compra de maquinaria y equipo - producción,NA,Arrendamiento sin opción  de compra de maquinaria y equipo - producción,17
C3R17C2,Arrendamiento sin opción  de compra de maquinaria y equipo - Administración y ve,NA,Arrendamiento sin opción  de compra de maquinaria y equipo - Administración y ve,17
C3R17C3,Total Arrendamiento sin opción  de compra de maquinaria y equipo,NA,Total Arrendamiento sin opción  de compra de maquinaria y equipo,17
C3R18C1,Seguros - Producción,NA,Seguros - Producción,17
C3R18C2,Seguros - Administración y ventas,NA,Seguros - Administración y ventas,17
C3R18C3,Total Seguros,NA,Total Seguros,17
C3R19C3,Valor Energía comprada,NA,Valor Energía comprada,17
C3R1C1,Salario Integral para el personal permanente -  Producción - Obreros,NA,Salario Integral para el personal permanente -  Producción - Obreros,12
C3R1C2,Salario Integral para el personal permanente -  Administrativos,NA,Salario Integral para el personal permanente -  Administrativos,12
C3R1C3,Total Salario Integral para el personal permanente,NA,Total Salario Integral para el personal permanente,12
C3R1PT,Salario Integral para el personal permanente -  Producción - Profesional Tecnól,NA,Salario Integral para el personal permanente -  Producción - Profesional Tecnól,12
C3R20C1,Impuesto de Renta para la Equidad - Producción,NA,Impuesto de Renta para la Equidad - Producción,12
C3R20C2,Impuesto de Renta para la Equidad - Administración y ventas,NA,Impuesto de Renta para la Equidad - Administración y ventas,12
C3R20C3,Total Impuesto de Renta para la Equidad,NA,Total Impuesto de Renta para la Equidad,12
C3R21C1,Servicio de agua  - Producción,NA,Servicio de agua  - Producción,17
C3R21C2,Servicio de agua - Administración y ventas,NA,Servicio de agua - Administración y ventas,17
C3R21C3,Total Servicio de agua,NA,Total Servicio de agua,17
C3R22C1,Propaganda y publicidad - producción,NA,Propaganda y publicidad - producción,17
C3R22C2,Propaganda y publicidad - Administración y ventas,NA,Propaganda y publicidad - Administración y ventas,17
C3R22C3,Total Propaganda y publicidad,NA,Total Propaganda y publicidad,17
C3R23C1,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Producción",NA,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Producción",17
C3R23C2,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Administración",NA,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Administración",17
C3R23C3,"Total Mantenimiento, reparaciones, accesorios y repuestos consumidos",NA,"Total Mantenimiento, reparaciones, accesorios y repuestos consumidos",17
