NORDEMP,n_anios,anio_min,anio_max
141028,1,2024,2024
141029,1,2024,2024
141030,1,2024,2024
141031,1,2024,2024
141034,1,2024,2024
141035,1,2024,2024
141036,1,2024,2024
141038,1,2024,2024
141039,1,2024,2024
141040,1,2024,2024
141042,1,2024,2024
141044,1,2024,2024
141046,1,2024,2024
141049,1,2024,2024
141051,1,2024,2024
141052,1,2024,2024
141054,1,2024,2024
141055,1,2024,2024
141056,1,2024,2024
141057,1,2024,2024
141058,1,2024,2024
141059,1,2024,2024
141061,1,2024,2024
141063,1,2024,2024
141065,1,2024,2024
141066,1,2024,2024
141067,1,2024,2024
141068,1,2024,2024
141069,1,2024,2024
141070,1,2024,2024
141071,1,2024,2024
141072,1,2024,2024
141073,1,2024,2024
141075,1,2024,2024
141076,1,2024,2024
141077,1,2024,2024
141078,1,2024,2024
141079,1,2024,2024
141080,1,2024,2024
141081,1,2024,2024
141082,1,2024,2024
141084,1,2024,2024
141085,1,2024,2024
141086,1,2024,2024
141087,1,2024,2024
141088,1,2024,2024
141089,1,2024,2024
141090,1,2024,2024
141091,1,2024,2024
141092,1,2024,2024
141093,1,2024,2024
141094,1,2024,2024
141096,1,2024,2024
141097,1,2024,2024
141098,1,2024,2024
141099,1,2024,2024
141100,1,2024,2024
141101,1,2024,2024
141103,1,2024,2024
141105,1,2024,2024
141106,1,2024,2024
141107,1,2024,2024
141108,1,2024,2024
141109,1,2024,2024
141110,1,2024,2024
141111,1,2024,2024
141112,1,2024,2024
141113,1,2024,2024
141116,1,2024,2024
141117,1,2024,2024
141119,1,2024,2024
141122,1,2024,2024
141123,1,2024,2024
141124,1,2024,2024
141125,1,2024,2024
141126,1,2024,2024
141128,1,2024,2024
141129,1,2024,2024
141132,1,2024,2024
141133,1,2024,2024
141134,1,2024,2024
141135,1,2024,2024
141136,1,2024,2024
141137,1,2024,2024
141140,1,2024,2024
141142,1,2024,2024
141143,1,2024,2024
141144,1,2024,2024
141145,1,2024,2024
141147,1,2024,2024
141149,1,2024,2024
141151,1,2024,2024
141152,1,2024,2024
141153,1,2024,2024
141154,1,2024,2024
141155,1,2024,2024
141156,1,2024,2024
141158,1,2024,2024
141159,1,2024,2024
141160,2,2023,2024
141162,2,2023,2024
141163,2,2023,2024
141164,2,2023,2024
141165,2,2023,2024
141166,2,2023,2024
141167,2,2023,2024
141168,2,2023,2024
141169,2,2023,2024
141170,2,2023,2024
141171,2,2023,2024
141173,2,2023,2024
141175,2,2023,2024
141176,2,2023,2024
141177,2,2023,2024
141178,2,2023,2024
141179,2,2023,2024
141180,2,2023,2024
141181,2,2023,2024
141182,2,2023,2024
141183,2,2023,2024
141184,2,2023,2024
141185,2,2023,2024
141186,2,2023,2024
141188,2,2023,2024
141190,2,2023,2024
141191,2,2023,2024
141192,2,2023,2024
141193,2,2023,2024
141194,2,2023,2024
141195,2,2023,2024
141196,2,2023,2024
141197,2,2023,2024
141198,2,2023,2024
141199,2,2023,2024
141200,2,2023,2024
141201,2,2023,2024
141202,2,2023,2024
141203,2,2023,2024
141204,2,2023,2024
141205,2,2023,2024
141206,2,2023,2024
141208,2,2023,2024
141209,1,2024,2024
141210,2,2023,2024
141212,2,2023,2024
141213,2,2023,2024
141214,2,2023,2024
141215,1,2024,2024
141216,2,2023,2024
141217,2,2023,2024
141218,2,2023,2024
141219,2,2023,2024
141220,2,2023,2024
141221,2,2023,2024
141222,2,2023,2024
141223,2,2023,2024
141224,2,2023,2024
141225,2,2023,2024
141227,2,2023,2024
141229,1,2024,2024
141230,2,2023,2024
141234,3,2022,2024
141235,3,2022,2024
141236,3,2022,2024
141237,2,2023,2024
141238,3,2022,2024
141239,3,2022,2024
141240,2,2023,2024
141242,3,2022,2024
141243,2,2022,2023
141244,3,2022,2024
141246,3,2022,2024
141248,3,2022,2024
141249,1,2022,2022
141250,1,2024,2024
141251,3,2022,2024
141252,1,2024,2024
141253,3,2022,2024
141254,3,2022,2024
141255,3,2022,2024
141256,3,2022,2024
141257,4,2021,2024
141258,3,2022,2024
141259,1,2024,2024
141260,3,2022,2024
141261,3,2022,2024
141262,3,2022,2024
141263,4,2021,2024
141264,3,2022,2024
141266,3,2022,2024
141267,3,2021,2023
141268,4,2021,2024
141270,4,2021,2024
141271,4,2021,2024
141272,4,2021,2024
141273,3,2022,2024
141274,4,2021,2024
141278,4,2021,2024
141282,3,2022,2024
141283,4,2021,2024
141284,2,2023,2024
141285,4,2021,2024
141286,2,2021,2022
141287,4,2021,2024
141288,1,2024,2024
141290,2,2021,2022
141291,3,2022,2024
141292,4,2021,2024
141293,4,2021,2024
141294,4,2021,2024
141295,4,2021,2024
141296,4,2021,2024
141297,4,2021,2024
141298,4,2021,2024
141299,5,2020,2024
141302,3,2020,2024
141305,2,2020,2021
141308,5,2020,2024
141309,5,2020,2024
141311,5,2020,2024
141312,5,2020,2024
141313,4,2020,2024
141315,4,2020,2023
141318,5,2020,2024
141319,1,2021,2021
141321,5,2020,2024
141323,1,2024,2024
141324,5,2020,2024
141325,5,2020,2024
141326,2,2023,2024
141327,3,2022,2024
141328,5,2020,2024
141329,5,2020,2024
141330,5,2020,2024
141331,5,2020,2024
141332,5,2020,2024
141334,5,2020,2024
141335,5,2020,2024
141336,5,2020,2024
141338,5,2020,2024
141339,5,2020,2024
141340,5,2020,2024
141341,3,2022,2024
141342,5,2020,2024
141343,3,2020,2022
141344,5,2020,2024
141345,2,2020,2021
141346,5,2020,2024
141348,6,2019,2024
141349,5,2020,2024
141350,6,2019,2024
141351,6,2019,2024
141352,5,2020,2024
141353,6,2019,2024
141354,1,2019,2019
141355,6,2019,2024
141356,6,2019,2024
141357,5,2019,2023
141358,6,2019,2024
141359,3,2019,2021
