NORDEMP,ANIO,n_obs
983906,2018,58
983906,2017,55
983906,2015,53
983906,2014,49
983906,2019,49
983906,2016,48
983906,2020,40
983906,2023,30
983906,2021,29
983906,2022,28
983906,2024,27
867206,2016,22
867206,2017,22
867206,2015,21
867206,2013,20
867206,2014,20
143524,2023,19
143524,2024,19
867206,2008,19
867206,2011,19
867206,2012,19
867206,2018,19
867206,2019,19
867206,2020,19
143524,2011,18
143524,2012,18
143524,2013,18
143524,2016,18
143524,2017,18
143524,2018,18
143524,2020,18
143524,2021,18
143524,2022,18
867206,2021,18
867206,2022,18
867206,2023,18
143524,2014,17
143524,2015,17
143524,2019,17
867206,2010,17
867206,2024,17
983906,2008,16
867206,2009,15
982056,2008,15
982056,2009,14
983814,2016,14
983906,2009,14
983906,2010,14
983906,2011,14
983906,2012,14
983814,2017,13
983906,2013,13
142436,2014,12
142436,2015,12
142436,2019,12
982172,2024,12
983814,2018,12
983814,2019,12
983814,2020,12
141260,2024,11
142436,2012,11
142436,2013,11
142436,2016,11
142436,2017,11
142436,2018,11
142436,2020,11
142436,2021,11
142436,2022,11
142436,2023,11
142436,2024,11
143527,2024,11
975518,2008,11
975518,2009,11
975518,2010,11
982062,2008,11
984279,2015,11
984279,2016,11
984279,2017,11
984281,2011,11
984281,2012,11
984281,2013,11
984281,2014,11
984281,2015,11
984281,2016,11
984281,2017,11
984281,2018,11
984281,2019,11
984281,2020,11
984281,2021,11
987170,2008,11
987170,2009,11
145929,2014,10
975518,2016,10
975518,2017,10
975719,2022,10
975719,2023,10
975719,2024,10
979138,2008,10
983814,2008,10
983814,2009,10
983814,2011,10
983814,2014,10
983814,2015,10
983814,2021,10
983814,2022,10
983814,2023,10
983814,2024,10
983907,2017,10
983907,2018,10
984279,2018,10
984279,2019,10
984279,2020,10
984279,2021,10
984279,2022,10
984279,2023,10
984279,2024,10
984281,2022,10
984281,2023,10
984281,2024,10
987170,2010,10
987170,2011,10
987170,2012,10
987170,2013,10
987170,2014,10
141872,2018,9
141872,2019,9
141872,2020,9
142436,2011,9
143527,2023,9
145929,2013,9
145929,2015,9
145929,2016,9
145929,2017,9
975518,2011,9
975518,2012,9
975719,2018,9
975719,2019,9
975719,2020,9
975719,2021,9
976174,2017,9
979137,2008,9
979137,2009,9
979137,2010,9
979137,2011,9
979137,2012,9
979137,2013,9
979137,2014,9
979137,2015,9
979137,2016,9
979137,2017,9
979137,2018,9
979137,2019,9
979137,2020,9
979137,2021,9
982066,2008,9
982066,2011,9
982066,2017,9
982066,2018,9
982310,2018,9
982310,2019,9
982310,2020,9
982310,2021,9
982310,2022,9
982310,2023,9
982310,2024,9
983814,2010,9
983814,2012,9
983814,2013,9
983907,2010,9
983907,2011,9
983907,2012,9
983907,2016,9
983907,2019,9
984279,2011,9
984279,2012,9
984279,2013,9
984279,2014,9
987170,2015,9
987170,2016,9
141872,2021,8
143527,2022,8
145929,2012,8
145929,2018,8
145929,2019,8
145929,2020,8
145929,2021,8
145929,2022,8
145929,2023,8
145929,2024,8
146606,2019,8
975518,2013,8
975518,2014,8
975518,2015,8
975706,2008,8
975706,2009,8
975706,2010,8
975706,2011,8
975706,2012,8
975706,2013,8
975706,2014,8
975706,2015,8
975706,2016,8
975706,2017,8
975707,2008,8
975707,2009,8
975707,2010,8
975707,2011,8
975707,2012,8
975719,2013,8
975719,2014,8
975719,2015,8
975719,2016,8
975719,2017,8
976174,2018,8
976174,2019,8
976174,2020,8
976174,2021,8
976174,2022,8
976174,2023,8
976174,2024,8
979137,2022,8
979137,2023,8
979137,2024,8
979138,2009,8
982056,2010,8
982058,2010,8
982058,2011,8
982059,2008,8
982059,2009,8
982066,2009,8
982066,2010,8
982066,2019,8
982066,2020,8
982066,2021,8
982066,2022,8
982310,2015,8
982310,2016,8
982310,2017,8
983907,2008,8
983907,2009,8
983907,2013,8
983907,2014,8
983907,2015,8
983907,2020,8
983907,2021,8
983907,2022,8
145929,2011,7
146088,2023,7
146088,2024,7
146606,2011,7
146606,2012,7
146606,2013,7
146606,2014,7
146606,2015,7
146606,2016,7
146606,2017,7
146606,2018,7
146606,2020,7
146606,2021,7
146606,2022,7
146606,2023,7
146606,2024,7
867346,2022,7
867346,2023,7
975705,2008,7
975705,2009,7
975705,2010,7
975705,2011,7
975705,2012,7
975705,2013,7
975705,2014,7
975705,2015,7
975706,2018,7
975707,2013,7
975719,2008,7
975719,2009,7
975719,2010,7
975719,2011,7
975719,2012,7
978378,2008,7
978378,2009,7
978435,2018,7
978435,2019,7
978435,2020,7
978435,2021,7
978435,2022,7
978435,2023,7
978435,2024,7
982056,2011,7
982056,2012,7
982056,2013,7
982056,2014,7
982056,2015,7
982056,2016,7
982056,2017,7
982056,2018,7
982056,2019,7
982056,2020,7
982056,2021,7
982056,2022,7
982056,2023,7
982056,2024,7
982058,2008,7
982058,2009,7
982058,2012,7
982058,2016,7
982058,2017,7
982058,2018,7
982058,2019,7
982058,2020,7
982058,2021,7
982058,2022,7
982058,2023,7
982058,2024,7
982059,2010,7
982059,2011,7
982059,2012,7
982059,2013,7
982059,2014,7
982059,2015,7
982059,2016,7
982059,2017,7
982059,2018,7
982059,2019,7
982059,2020,7
982059,2021,7
982059,2022,7
982059,2023,7
982059,2024,7
982062,2009,7
982066,2012,7
982066,2013,7
982066,2014,7
982066,2015,7
982066,2016,7
982066,2024,7
982073,2010,7
982073,2011,7
982073,2012,7
982073,2013,7
982073,2014,7
982073,2015,7
982073,2016,7
982073,2017,7
982073,2018,7
982174,2012,7
982174,2013,7
982575,2010,7
982575,2011,7
982575,2012,7
982575,2013,7
982575,2014,7
982575,2015,7
982575,2016,7
986338,2012,7
986338,2017,7
986338,2018,7
986338,2019,7
986338,2020,7
986338,2021,7
987170,2017,7
987170,2018,7
987170,2019,7
987170,2020,7
141327,2022,6
141327,2023,6
141465,2018,6
141465,2019,6
143729,2017,6
143729,2018,6
143729,2019,6
143729,2020,6
143729,2021,6
143729,2022,6
143729,2023,6
143729,2024,6
146048,2012,6
146048,2013,6
146048,2014,6
146048,2015,6
146048,2016,6
146606,2008,6
146606,2009,6
146606,2010,6
867346,2018,6
867346,2019,6
867346,2020,6
867346,2021,6
867346,2024,6
975705,2016,6
975705,2017,6
975705,2018,6
975705,2019,6
975705,2020,6
975705,2021,6
975705,2022,6
975705,2023,6
975705,2024,6
975706,2019,6
