NORDEMP,n_anios,anio_min,anio_max,anios_observados_txt,anios_faltantes_txt
141302,3,2020,2024,"2020,2023,2024","2021,2022"
141313,4,2020,2024,"2020,2021,2023,2024",2022
141366,5,2019,2024,"2019,2020,2022,2023,2024",2021
141420,5,2018,2024,"2018,2019,2020,2023,2024","2021,2022"
141425,3,2018,2022,"2018,2021,2022","2019,2020"
141476,7,2017,2024,"2017,2018,2019,2020,2021,2022,2024",2023
141557,8,2016,2024,"2016,2017,2018,2019,2020,2021,2023,2024",2022
141603,5,2016,2021,"2016,2017,2018,2019,2021",2020
141606,6,2016,2023,"2016,2017,2018,2021,2022,2023","2019,2020"
141651,8,2016,2024,"2016,2017,2018,2019,2021,2022,2023,2024",2020
141659,6,2016,2024,"2016,2017,2018,2019,2023,2024","2020,2021,2022"
141700,8,2016,2024,"2016,2017,2018,2019,2020,2022,2023,2024",2021
141755,4,2016,2020,"2016,2017,2018,2020",2019
141795,6,2016,2022,"2016,2017,2018,2019,2021,2022",2020
141824,7,2015,2023,"2015,2016,2018,2019,2020,2021,2023","2017,2022"
141829,9,2015,2024,"2015,2016,2018,2019,2020,2021,2022,2023,2024",2017
141940,11,2013,2024,"2013,2014,2015,2016,2018,2019,2020,2021,2022,2023,2024",2017
141946,10,2013,2023,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",2015
141968,7,2013,2020,"2013,2014,2015,2016,2017,2019,2020",2018
141973,4,2013,2018,"2013,2014,2017,2018","2015,2016"
141975,8,2013,2024,"2013,2014,2015,2016,2017,2018,2019,2024","2020,2021,2022,2023"
142118,2,2014,2016,"2014,2016",2015
142152,3,2013,2016,"2013,2015,2016",2014
142350,13,2011,2024,"2011,2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2013
142371,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2023,2024","2020,2021,2022"
142398,3,2011,2014,"2011,2013,2014",2012
142419,14,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021,2022,2023,2024",2019
142442,14,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2023,2024",2022
142481,13,2010,2024,"2010,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024","2011,2012"
142523,4,2010,2015,"2010,2011,2012,2015","2013,2014"
142528,2,2013,2015,"2013,2015",2014
142532,9,2010,2019,"2010,2011,2012,2014,2015,2016,2017,2018,2019",2013
142537,14,2010,2024,"2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",2016
142549,14,2010,2024,"2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2014
142567,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2021,2022,2023,2024","2019,2020"
142572,14,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",2020
142657,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024","2022,2023"
